,User,Date,Content,Views,Likes,Retweets,comments,score,Location,Categories
0,JohnTur53917613,05/02/2023,"@DrUmarAlQadri That's a false no. Its more like 7%. Don't  believe  a word from pat Kenny, he's  part of the cabal who are happy to sow division.  ✊️",14,0,0,0,14,None,[11]
1,PADDYDIGITAL,05/02/2023,"• Died Suddenly 
• 2000 Mules
• Greatest Lie Ever Sold
• Chemtrails
• Great Reset
• Great Replacement
• War against food supply
• J6 inside job
• 9/11 inside job
• CIA killed Kennedy 

What percentage of these do you believe?",59,1,1,0,64,None,"[3, 4]"
2,schmavel,05/02/2023,@MuskUniversity anything remotely controllable by the cabal is fucked. i'd need a custom EV w/ no internet connection.,2,0,0,0,2,None,[1]
3,LovesCanada8,05/02/2023,@WeAreCanProud Canada is broken under the globalists Trudeau and Poilievre.,138,2,1,1,150,None,[1]
4,jallen1804,05/02/2023,@catturd2 Mark Milley is a Donald Trump appointee. Christopher Wray is a Donald Trump appointee. The Chairman of the Joint Chiefs &amp; the FBI director are TRUMP's GUYS.  Donald Trump is part of the deep state.,9,0,0,0,9,None,[1]
5,ClwinegarLw28,05/02/2023,"@magajoe2 The more I see her &amp; hear her speak, the more I think She is a psyop for the deep state. No one is that obviously ridiculous. Serious.",15,2,0,0,19,None,[1]
6,MatthewKnez3,05/02/2023,@JonnyThePhoenix @healthbyjames It’s ironic. My wife told me once earlier in the “plandemic” that her and the kids worried about me and my conspiracies. A couple months later many of them proved to be true. I asked her if I could go back in time to 2019 and warn her would she have believed me then?,4,1,0,0,6,None,[2]
7,M_B_Bolinger,05/02/2023,"@simonateba @YostHager @realDonaldTrump All that’s missing is a letter signed by 51 Intel agents confirming the story, a la the Hunter Biden laptop. As if the deep state has any credibility. 😂",103,11,1,0,128,None,[1]
8,Pro__Trading,05/02/2023,It's Trump vs. the establishment and deep state swamp in 2024. We're reliving 2016 again. Absolutely wild.,304,30,4,2,386,None,[1]
9,jallen1804,05/02/2023,@MonicaCrowley Mark Milley is a Donald Trump appointee. Christopher Wray is a Donald Trump appointee. The Chairman of the Joint Chiefs &amp; the FBI director are TRUMP's GUYS.  Donald Trump is part of the deep state.,11,0,0,0,11,None,[1]
10,JJMavrik,05/02/2023,"@AtlRey I'm not sold on Chemtrails.

I don't think 9/11 was an inside job, but just like Pearl Harbor, the govt knew and did nothing so they could go to war.

Everything else appears to be accurate.",418,10,0,5,463,None,[4]
11,Bryonzeid,10/02/2023,@tamster0071 @N76247476Man The deep state can't let him,5,1,0,0,7,None,[1]
12,Alasdair1989,05/02/2023,@EvilArthurFleck Yup been saying the new scamdemic will be climate change,30,4,0,0,38,None,[2]
13,Wicketdevo,10/02/2023,"@DestinyNostalgi God, the cabal and fallen got downgraded hard",86,0,0,0,86,None,[1]
14,jallen1804,10/02/2023,@LauraLoomer Mark Milley is a Donald Trump appointee. Christopher Wray is a Donald Trump appointee. The Chairman of the Joint Chiefs &amp; the FBI director are TRUMP's GUYS.  Donald Trump is part of the deep state.,32,1,0,0,34,None,[1]
15,toefinger,11/02/2023,@LowellBennett9 If that happened while Trump was in office the deep state intel that hated him would have leaked it! Nancy would have asked for another impeachment vote. they are so full of 💩,28,1,0,0,30,None,[1]
16,kildea_m,11/02/2023,@Pat_Kc @ThePoliticalPom @krassenstein Neither would the democrat deep state. 😂 🤡,8,0,0,0,8,US,[1]
17,Joebuck_3508,13/02/2023,@Ashlarbond @AtlRey I personally think 9/11 was an inside job to justify going to war with Irac,36,3,0,0,42,None,[4]
18,Grow4Freedom,12/02/2023,"@CannConActual @JackPosobiec I’d walk in and walk right back out, and most of the people I know who are outdoorsy would do the same. Used to love @REI, but since their scamdemic BS, won’t go back. @Scheels is the place for conservatives and patriots!",89,1,0,1,96,None,[2]
19,MelleBTC,13/02/2023,@DefenceU So sad that this poor guy died to defend the bio labs managed by the Biden family and the deep state laundering operations,16,3,0,0,22,None,[1]
20,Cleomycin1,15/02/2023,"@RobertKennedyJr Dr Rima Laibow once said, ""they got it right this time"". No one knows her but she was very vocal about this whole plandemic way back. They silenced her.",2,0,0,0,2,None,"[2, 3]"
21,DonnaMcNab1,15/02/2023,#plandemic #StoptheShotsNow,7,0,0,0,7,None,[2]
22,jallen1804,14/02/2023,@EndWokeness @Frankfabrizio2 Mark Milley is a Donald Trump appointee. Christopher Wray is a Donald Trump appointee. The Chairman of the Joint Chiefs &amp; the FBI director are TRUMP's GUYS.  Donald Trump is part of the deep state.,13,0,0,0,13,None,[1]
23,AlimoshoFlagboy,16/02/2023,God pass all of them. They cannot stop an idea whose time has come. Peter Obi is on a Divine mission to liberate Nigeria and Nigerians and I believe the Almighty God who is the CABAL of all cabals has the power to Enthrone Peter Obi and dethrone every evil gang up against Him 🙏,38,0,0,0,38,None,[1]
24,AlimoshoFlagboy,15/02/2023,@bonnypumping God pass all of them. They cannot stop an idea whose time has come. Peter Obi is on a Divine mission to liberate Nigeria and Nigerians and I believe the Almighty God who is the CABAL of all cabals has the power to Enthrone Peter Obi and dethrone every evil gang up against Him 🙏,30,0,0,0,30,None,[1]
25,LionessMamma,15/02/2023,Accuracy matters. When some say the left stands together it’s not admirable when silent against frauds. Same for deep state. Looks good from the outside but like many lies peel back and the filth is exposed. We must stay authentic to truly win the woke war on faith and freedom.,82,2,1,0,89,None,[1]
26,Gregory15960308,05/02/2023,"@MeidasTouch Ok. So Trump, dealing with a hostile leftist corrupt news media, FBI, and deep state bureaucracy, was investigated throughout his entire Presidency and found nothing, was able to hide Chinese spy balloons from the American people.🤪👍",9,0,0,0,9,None,[1]
27,Chax_Di,05/02/2023,"@InsightGL Sir, the US deep state has lots of stake in Ukraine.  They r primarily responsible for the situation of Kiev. Remember sir, after WW2, they have ensured that they don't fight any war on American soil.",44,1,0,0,46,None,[1]
28,eric74551470,05/02/2023,"@jsolomonReports Trump needs to decide he can be a king maker and take a graceful and positive exit before he suffers  being made irrelevant.
When deep money the media and deep state are against you, your done",29,0,0,1,34,None,[1]
29,NinjaScuba,05/02/2023,"@zerohedge Wow Klaus Schwab predicted this, he is so clever to seen these things coming. I'm sure just a coincidence, the same as them predicting the scamdemic and that happening as well. Wakey wakey people.",11,0,0,0,11,None,[2]
